보관함역,위도,경도,주소,상세위치
삼각지역,37.53443934,126.972923,서울 용산구 한강로1가 228-1,"삼각지역 B1층 7, 8번 출구 방면(화장실 주변)"
녹사평역,37.5347228,126.9865497,서울 용산구 용산동4가 4,녹사평역 B1층 E/V 주변 (편의점 (7-ELEVEN) 주변)
이태원역,37.53452521,126.9943339,서울 용산구 이태원동 119-23,이태원역 B1층 화장실 주변
이태원역,37.53452521,126.9943339,서울 용산구 이태원동 119-23,이태원역 B1층 화장실 앞
한강진역,37.53979077,127.0017651,서울 용산구 한남동 726-494,한강진역 중층 1번 출구 방면
버티고개역,37.54782751,127.0067309,서울 중구 신당동 366-454,버티고개역 B1층 2번 출구 방면 (화장실 주변)
약수역,37.5545054,127.0108917,서울 중구 신당동 369-44,약수역 B1층 9번 출구 방면
신당역,37.56567305,127.0194775,서울 중구 신당동 99,"신당역 B1층 11, 12번 출구 방면"
동묘앞역,37.57321666,127.0163642,서울 종로구 숭인동 117,"동묘앞역 B1층 4, 7번 출구 방면"
창신역,37.57941474,127.0152969,서울 종로구 창신동 20-8,창신역 B1층 4번 출구 방면 
보문역,37.5855417,127.0200035,서울 성북구 보문동1가 127-1,보문역 B1층 5~8번 출구 방면 
안암역,37.58630742,127.0292334,서울 성북구 안암동5가 146-1,"안암역 B1층 3, 4번 출구 방면"
고려대역,37.59044191,127.0363083,서울 성북구 종암동 29-18,"고려대역 B1층 5, 6번 출구 방면 (자전거 보관함 주변)"
월곡역,37.60180442,127.0414607,서울 성북구 하월곡동 35-1,월곡역 B1층 화장실 주변
상월곡역,37.60655883,127.0488292,서울 성북구 상월곡동 26-1,"상월곡역 B2층 1, 4번 출구 방면(화장실 주변)"
돌곶이역,37.61054501,127.0564381,서울 성북구 석관동 349-8,돌곶이역 B1층 5~8번 출구 방면 (화장실 주변)
석계역,37.61500553,127.0656895,서울 노원구 월계동 36-4,"석계역 B1층 2, 3번 출구 방면"
화랑대역,37.61984246,127.0835418,서울 노원구 공릉동 285-2,화랑대역 B1층 1~4번 출구 방면(자전거보관함 주변)
봉화산역,37.61735084,127.0913601,서울 중랑구 신내동 643-1,봉화산역 B1층 3번 출구 방면
도봉산역,37.68951168,127.0460627,서울 도봉구 도봉동 301-5,도봉산역 2번 출구 방면 (출입구 주변)
수락산역,37.67788147,127.055351,서울 노원구 상계동 1132-9,"수락산역 B2층 5, 6번 방면 (편의점(GS25) 주변)"
마들역,37.66520175,127.0577126,서울 노원구 상계동 650,"마들역 B1층 4, 5번 출구 방면"
노원역,37.65634035,127.0634491,서울 노원구 상계동 602-5,노원역 B1층 5~7번 출구 방면(E/V 주변)
중계역,37.64509212,127.0641104,서울 노원구 중계동 503-3,"중계역 B1층 1, 2번 출구 방면"
하계역,37.63647654,127.0679913,서울 노원구 하계동 273-5,하계역 B1층 2~5번 출구 (화장실 주변)
공릉역,37.62554276,127.0730336,서울 노원구 공릉동 385-4,공릉역 B1층 1~4번 출구 (화장실 주변)
태릉입구역,37.61845951,127.0754053,서울 노원구 공릉동 616-4,"태릉입구역 B3층 3, 4번 출구 방면 (E/S, E/V 주변)"
먹골역,37.61061938,127.0777622,서울 중랑구 묵동 189-5,"먹골역 B1층 1, 2번 출구 방면 (화장실 주변)"
